,lat,lon,activity
0,-43.590217949822545,172.5603981781751,activity_21767060640.gpx
1,-43.590235048905015,172.56042114458978,activity_21767060640.gpx
2,-43.5902358032763,172.5604566000402,activity_21767060640.gpx
3,-43.590244855731726,172.56047872826457,activity_21767060640.gpx
4,-43.59022792428732,172.56050513125956,activity_21767060640.gpx
5,-43.59020898118615,172.5605184584856,activity_21767060640.gpx
6,-43.5901908762753,172.56052893586457,activity_21767060640.gpx
7,-43.590168077498674,172.56054176017642,activity_21767060640.gpx
8,-43.59015030786395,172.5605498906225,activity_21767060640.gpx
9,-43.59012767672539,172.56056355312467,activity_21767060640.gpx
10,-43.590109990909696,172.5605778861791,activity_21767060640.gpx
11,-43.590088952332735,172.5605840049684,activity_21767060640.gpx
12,-43.59006682410836,172.56059884093702,activity_21767060640.gpx
13,-43.5900510661304,172.56060294806957,activity_21767060640.gpx
14,-43.590032206848264,172.56061258725822,activity_21767060640.gpx
15,-43.59001795761287,172.56062331609428,activity_21767060640.gpx
16,-43.589998595416546,172.56062826141715,activity_21767060640.gpx
17,-43.589978562667966,172.56064678542316,activity_21767060640.gpx
18,-43.589963810518384,172.56065240129828,activity_21767060640.gpx
19,-43.589941933751106,172.56065843626857,activity_21767060640.gpx
20,-43.589916033670306,172.56067612208426,activity_21767060640.gpx
21,-43.58989507891238,172.560683330521,activity_21767060640.gpx
22,-43.58987043611705,172.5606970768422,activity_21767060640.gpx
23,-43.589847134426236,172.5607137568295,activity_21767060640.gpx
24,-43.589828023687005,172.56071995943785,activity_21767060640.gpx
25,-43.58980329707265,172.56073026917875,activity_21767060640.gpx
26,-43.58978385105729,172.56074619479477,activity_21767060640.gpx
27,-43.5897677578032,172.56076388061047,activity_21767060640.gpx
28,-43.589768344536424,172.56079480983317,activity_21767060640.gpx
29,-43.5897783190012,172.56083194166422,activity_21767060640.gpx
30,-43.58978670090437,172.56085976958275,activity_21767060640.gpx
31,-43.589800614863634,172.56089656613767,activity_21767060640.gpx
32,-43.58980673365295,172.56092397496104,activity_21767060640.gpx
33,-43.58979759737849,172.56095046177506,activity_21767060640.gpx
34,-43.58979164622724,172.56098776124418,activity_21767060640.gpx
35,-43.58978686854243,172.56101307459176,activity_21767060640.gpx
36,-43.58979223296046,172.5610504578799,activity_21767060640.gpx
37,-43.58980187214911,172.56107895635068,activity_21767060640.gpx
38,-43.58980388380587,172.56110234186053,activity_21767060640.gpx
39,-43.58981545083225,172.56113226525486,activity_21767060640.gpx
40,-43.58982224017382,172.56115330383182,activity_21767060640.gpx
41,-43.5898282751441,172.561180209741,activity_21767060640.gpx
42,-43.589843111112714,172.56120711565018,activity_21767060640.gpx
43,-43.58984881080687,172.5612296629697,activity_21767060640.gpx
44,-43.58985660597682,172.56125883199275,activity_21767060640.gpx
45,-43.58986783772707,172.5612880848348,activity_21767060640.gpx
46,-43.5898747947067,172.5613078661263,activity_21767060640.gpx
47,-43.58988292515278,172.56133552640676,activity_21767060640.gpx
48,-43.589895498007536,172.5613665394485,activity_21767060640.gpx
49,-43.58990195207298,172.56139394827187,activity_21767060640.gpx
50,-43.589911507442594,172.56143032573164,activity_21767060640.gpx
51,-43.589924834668636,172.56146318279207,activity_21767060640.gpx
52,-43.58993045054376,172.56148908287287,activity_21767060640.gpx
53,-43.58993975445628,172.56152286194265,activity_21767060640.gpx
54,-43.58995333313942,172.56155219860375,activity_21767060640.gpx
55,-43.58995643444359,172.5615716446191,activity_21767060640.gpx
56,-43.58996691182256,172.56160399876535,activity_21767060640.gpx
57,-43.58997764065862,172.56163065321743,activity_21767060640.gpx
58,-43.58998451381922,172.56165554746985,activity_21767060640.gpx
59,-43.59000186435878,172.5616908352822,activity_21767060640.gpx
60,-43.59000186435878,172.5616908352822,activity_21767060640.gpx
61,-43.59001292847097,172.5617436412722,activity_21767060640.gpx
62,-43.5900286026299,172.56177532486618,activity_21767060640.gpx
63,-43.5900338832289,172.56179963238537,activity_21767060640.gpx
64,-43.59004268422723,172.56183391436934,activity_21767060640.gpx
65,-43.59005433507264,172.56186241284013,activity_21767060640.gpx
66,-43.590057687833905,172.56188496015966,activity_21767060640.gpx
67,-43.590067997574806,172.5619191583246,activity_21767060640.gpx
68,-43.59007956460118,172.5619479920715,activity_21767060640.gpx
69,-43.59008283354342,172.56197188049555,activity_21767060640.gpx
70,-43.59009934589267,172.56201177835464,activity_21767060640.gpx
71,-43.590108985081315,172.56203901953995,activity_21767060640.gpx
72,-43.5901131760329,172.56206626072526,activity_21767060640.gpx
73,-43.59012641943991,172.56210037507117,activity_21767060640.gpx
74,-43.59013572335243,172.56212753243744,activity_21767060640.gpx
75,-43.590142512694,172.5621609762311,activity_21767060640.gpx
76,-43.59015550464392,172.56219291128218,activity_21767060640.gpx
77,-43.59016044996679,172.56221797317266,activity_21767060640.gpx
78,-43.59017075970769,172.56225225515664,activity_21767060640.gpx
79,-43.590184254571795,172.56228192709386,activity_21767060640.gpx
80,-43.59018836170435,172.5623047258705,activity_21767060640.gpx
81,-43.590197414159775,172.5623364932835,activity_21767060640.gpx
82,-43.59020889736712,172.56236826069653,activity_21767060640.gpx
83,-43.59021618962288,172.56239768117666,activity_21767060640.gpx
84,-43.5902254935354,172.56243120878935,activity_21767060640.gpx
85,-43.5902392398566,172.56246590986848,activity_21767060640.gpx
86,-43.590248795226216,172.56249197758734,activity_21767060640.gpx
87,-43.59025675803423,172.56252500228584,activity_21767060640.gpx
88,-43.59027058817446,172.5625600386411,activity_21767060640.gpx
