Activity Type,Date,Title,activity,Island,Location,Distance (km),Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent (m),Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Rating,Links,Comments
Hiking,13/6/2025 18:04,Queenstown Walking,Queenstown Gardens Loop,South Island,Queenstown,2.32,144,0:30:08,97,133,1.4,99,244,12:59,7:38,23,29,0.78,--,--,--,--,--,0,--,--,--,--,--,"3,038",--,--,-2,21,No,03:46.9,3,24,0:27:53,0:35:21,227,245,5.5/10,https://www.alltrails.com/trail/new-zealand/otago/queenstown-gardens-loop,
Hiking,15/6/2025 13:58,Queenstown Walking,Queenstown Hill Walkway,South Island,Queenstown,5.15,469,1:18:36,129,178,3.5,91,239,15:16,5:15,434,421,0.72,--,--,--,--,--,0,--,--,--,--,--,"7,590",--,--,-15,17,No,02:42.3,6,30,1:10:22,1:38:33,424,850,7.5/10,https://www.alltrails.com/trail/new-zealand/otago/queenstown-hill-walkway,
Running,5/7/2025 16:20,Queenstown Running,Fernhill,South Island,,3.54,268,0:28:41,159,191,4.4,143,161,8:06,6:20,122,113,0.87,9.7,8.3,302,7:25,265,0,230,385,--,--,--,"4,102",--,--,-11,12,No,05:59.7,4,24,0:28:27,0:29:20,389,468,,,
Running,13/7/2025 16:18,Queenstown Running,Fernhill,South Island,,3.92,301,0:29:33,160,193,4.7,150,167,7:32,6:10,142,135,0.88,9.8,8.6,298,6:52,283,0,253,417,--,--,--,"4,452",--,--,-11,19,No,06:46.0,4,29,0:29:31,0:29:40,373,467,,,
Running,14/7/2025 17:54,Strength,Fernhill,South Island,,0,94,0:14:35,120,199,2.2,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,4,2,1,-2,24,No,0:14:35,1,26,0:14:35,0:14:35,--,--,,,
Running,16/7/2025 17:22,Queenstown Running,Fernhill,South Island,,4.05,302,0:28:57,160,188,4.6,154,167,7:08,5:41,146,148,0.91,9.8,8.8,295,6:29,290,0,266,416,--,--,--,"4,426",--,--,-12,12,No,00:25.2,5,22,0:28:55,0:29:28,388,464,,,
Running,25/7/2025 15:27,Queenstown - Base,Lake Hayes Walkway,South Island,,7.9,617,0:55:16,181,193,5,153,172,7:00,5:57,112,106,0.93,9.8,9.1,292,6:50,269,0,256,398,--,--,--,"8,454",--,--,-23,19,No,00:10.1,9,26,0:54:08,0:55:16,332,372,,,
Hiking,14/10/2025 7:37,Earnslaw Burn Track,Earnslaw Burn Track,South Island,Glenorchy,23.42,"5,001",13:39:53,154,189,5,22,187,35:01:00,6:31,"1,199","1,203",1.52,--,--,--,--,--,0,--,--,--,--,--,"30,876",--,--,-35,14,No,00:01.3,26,32,3:56:12,13:40:01,382,889,7-Oct,https://www.alltrails.com/trail/new-zealand/otago/earnslaw-burn,
Hiking,22/10/2025 9:46,Kingston Walking,Wye Creek Track To Helicopter Landing,South Island,Queenstown,4.82,723,2:16:36,135,189,4.7,47,158,28:18:00,6:19,363,396,0.82,--,--,--,--,--,0,--,--,--,--,--,"8,900",--,--,-19,15,No,0:17:14,5,27,1:03:15,2:16:37,361,734,8-Oct,https://www.alltrails.com/trail/new-zealand/otago/wye-creek-track-to-helicopter-landing,
Hiking,23/10/2025 15:15,Sunshine Bay Walking,Bobs Cove Track,South Island,Queenstown,9.18,749,2:26:43,127,173,2.7,90,231,15:59,6:34,387,386,0.7,--,--,--,--,--,0,--,--,--,--,--,"14,206",--,--,-13,25,No,05:23.0,10,32,2:13:29,2:26:43,308,386,5-Oct,https://www.alltrails.com/trail/new-zealand/otago/bobs-cove-track,
