Activity Type,Date,Title,activity,Island,Location,Distance (km),Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent (m),Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Body Battery Drain,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation,Rating,Links,Comments
Running,21/2/2025 7:22,Auckland Running,One Tree Hill,North Island,,7.14,483,0:57:04,163,192,5,145,170,8:00,5:47,131,108,0.86,9.9,8.4,291,--,243,0,220,391,--,--,--,"8,354",--,--,-27,23,No,01:04.5,8,28,0:54:00,1:17:11,77,147,,,
Running,22/2/2025 7:45,Auckland Running,One Tree Hill,North Island,,4.98,321,0:34:48,167,183,4.5,156,225,6:59,5:45,66,76,0.92,9.6,8.8,286,--,263,0,252,398,--,--,--,"5,430",--,--,-14,22,No,06:13.7,5,26,0:34:14,0:37:31,75,132,,,
Running,23/2/2025 16:19,Strength,Auckland,North Island,,0,35,09:06.0,102,125,0.3,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,126,63,3,-1,30,No,09:06.0,1,32,04:55.0,09:06.0,--,--,,,
Running,24/2/2025 8:47,Auckland Running,One Tree Hill,North Island,,6.58,452,0:46:35,173,186,5,159,170,7:05,5:30,77,77,0.88,9.8,8.7,286,6:59,254,0,247,380,--,--,--,"7,440",--,--,-21,23,No,04:01.0,7,29,0:46:05,0:48:48,77,129,,,
Hiking,26/2/2025 11:45,Auckland Walking,Waiheke Island Matiatia to Oneroa,North Island,Waiheke Island,5.42,563,1:48:34,141,187,3.2,68,160,20:00,8:12,216,223,0.75,--,--,--,--,--,0,--,--,--,--,--,"7,934",--,--,-13,30,No,0:14:10,6,37,1:15:42,1:48:34,7,67,7-Oct,https://walkwaiheke.co.nz/walks/matiatia-to-oneroa-the-mokemoke-pa-headland-walk/,
Hiking,26/2/2025 16:42,Auckland Walking,Waiheke Island To Onetangi Beach,North Island,Waiheke Island,1.85,140,0:24:17,145,167,2,99,158,13:08,7:17,29,40,0.77,--,--,--,--,--,0,--,--,--,--,--,"2,442",--,--,-2,30,No,0:12:04,2,35,0:23:06,0:24:17,6,39,3-Oct,NA,
Hiking,28/2/2025 17:16,Whangarei Walking,Whangarei Falls Track,North Island,Whangarei,6.43,448,1:45:45,108,161,2.1,81,158,16:27,6:21,158,162,0.75,--,--,--,--,--,0,--,--,--,--,--,"8,936",--,--,-5,28,No,00:01.3,10,33,1:27:33,1:45:45,31,90,6-Oct,https://www.alltrails.com/trail/new-zealand/northland/whangarei-falls-track,
Hiking,1/3/2025 10:22,Whangarei Walking,Mount Manaia Track,North Island,Whangarei,3.6,524,2:02:39,125,188,3.8,47,167,34:05:00,7:40,333,316,0.66,--,--,--,--,--,0,--,--,--,--,--,"6,420",--,--,-5,27,No,0:17:54,4,31,0:59:04,2:15:24,74,403,8-Oct,https://www.alltrails.com/trail/new-zealand/northland/mount-manaia-track,
Hiking,6/3/2025 14:52,Ngaruawahia Walking,Hakarimata Summit Track,North Island,Waikato,3.97,495,1:35:09,138,191,3.3,72,193,23:57,10:02,377,369,0.56,--,--,--,--,--,0,--,--,--,--,--,"7,484",--,--,-11,24,No,0:14:44,4,34,1:03:55,1:35:09,27,380,7-Oct,https://www.alltrails.com/trail/new-zealand/waikato/hakarimata-summit-track,
Hiking,6/3/2025 18:17,Te Aroha Walking,Wairere Falls Track,North Island,Waikato,3.33,424,1:04:59,157,191,3.7,57,222,19:30,6:55,224,248,0.9,--,--,--,--,--,0,--,--,--,--,--,"5,070",--,--,-9,24,No,05:27.7,4,28,0:43:17,1:04:59,46,268,8-Oct,https://www.alltrails.com/trail/new-zealand/waikato/wairere-falls-track,
Hiking,7/3/2025 19:22,Tauranga Walking,Mount Maunganui Summit Inner Track,North Island,Mount Maunganui,3.16,290,1:05:14,125,173,2.4,71,160,20:38,8:40,169,238,0.69,--,--,--,--,--,0,--,--,--,--,--,"4,966",--,--,-5,24,No,05:28.6,4,28,0:49:21,1:05:14,4,238,8-Oct,https://www.alltrails.com/trail/new-zealand/bay-of-plenty/mount-maunganui-summit-track,
Running,8/3/2025 11:00,Tauranga Running,Marine Parade,North Island,,5.88,399,0:42:25,164,187,4.1,155,169,7:13,5:41,45,45,0.9,9.7,8.7,287,7:09,250,0,239,400,--,--,--,"6,576",--,--,-14,25,No,05:37.6,6,29,0:41:50,1:13:41,-1,22,,,
Hiking,8/3/2025 15:55,Te Puna Walking,Te Puna Quarry Park,North Island,Te Puna,1.22,251,0:48:01,128,163,2.3,40,160,39:24:00,10:34,137,137,0.64,--,--,--,--,--,0,--,--,--,--,--,"2,282",--,--,-4,26,No,05:35.2,2,30,0:21:40,0:48:01,71,191,5-Oct,https://www.alltrails.com/trail/new-zealand/bay-of-plenty/te-puna-quarry-park-walk,
Running,9/3/2025 19:12,Tauranga Running,Marine Parade,North Island,,5.05,336,0:36:13,162,188,3.9,158,224,7:10,5:11,31,24,0.88,9.9,8.8,292,7:07,253,0,247,381,--,--,--,"5,714",--,--,-6,24,No,00:22.9,6,30,0:36:02,0:36:13,3,16,,,
Running,10/3/2025 10:46,Tauranga Running,Marine Parade,North Island,,2.79,184,0:18:17,167,187,3.4,162,169,6:33,5:16,14,13,0.94,9.5,8.9,281,6:34,255,0,254,336,--,--,--,"2,954",--,--,-6,27,No,05:03.0,3,31,0:18:16,0:18:17,9,15,,,
Hiking,10/3/2025 11:06,Tauranga Walking,Mount Maunganui Summit Inner Track 2,North Island,Mount Maunganui,3.02,210,0:42:11,117,162,1.5,89,158,13:57,6:07,48,72,0.8,--,--,--,--,--,0,--,--,--,--,--,"4,046",--,--,-6,25,No,00:14.8,4,30,0:36:14,0:51:41,-7,23,8-Oct,https://www.alltrails.com/trail/new-zealand/waikato/wairere-falls-track,
Running,10/3/2025 11:59,Tauranga Running,Marine Parade,North Island,,2.63,176,0:16:45,174,197,3.5,160,169,6:22,4:57,28,24,0.98,9.4,9.1,281,6:19,300,0,293,434,--,--,--,"2,710",--,--,-6,29,No,03:43.0,3,32,0:16:44,0:16:45,4,17,,,
Hiking,11/3/2025 18:12,Te Puke Walking,Papamoa Hill Summit Track,North Island,Papamoa,4.36,354,1:23:02,107,162,2.1,69,167,19:03,7:00,255,271,0.77,--,--,--,--,--,0,--,--,--,--,--,"6,242",--,--,-3,21,No,04:25.6,5,31,0:59:21,1:23:02,7,234,7-Oct,https://www.alltrails.com/trail/new-zealand/bay-of-plenty/papamoa-hill-summit-track,
Hiking,12/3/2025 10:20,Kaiate Falls,Kaiate Falls Walk,North Island,Tauranga,1.66,162,0:46:41,100,145,0.9,37,160,28:09:00,2:05,101,106,0.95,--,--,--,--,--,0,--,--,--,--,--,"2,318",--,--,-4,24,No,0:13:09,2,29,0:21:38,0:46:41,67,147,6.5/10,https://www.alltrails.com/trail/new-zealand/bay-of-plenty/kaiate-falls-walk,
Hiking,13/3/2025 13:45,Mclaren Falls Park,Mclaren Falls Park,North Island,Tauranga,7.13,559,2:49:15,92,152,1.1,52,160,23:45,4:15,347,382,0.93,--,--,--,--,--,0,--,--,--,--,--,"10,306",--,--,-13,24,No,0:12:24,8,34,1:38:58,2:49:15,62,189,5-Oct,https://www.alltrails.com/trail/new-zealand/bay-of-plenty/mclaren-falls-complete-loop,
Hiking,14/3/2025 16:11,Papamoa Hills Hike,Papamoa Hills Loop,North Island,Papamoa,6.4,525,2:11:44,107,153,1.4,62,226,20:35,4:39,318,383,0.79,--,--,--,--,--,0,--,--,--,--,--,"9,226",--,--,-9,25,No,06:40.2,7,35,1:28:18,2:28:35,14,228,6-Oct,https://www.alltrails.com/trail/new-zealand/bay-of-plenty/papamoa-hills-loop,
Running,15/3/2025 17:54,Tauranga Running,Papamoa Beach,North Island,,6.35,432,0:45:34,161,188,4.4,156,171,7:11,5:56,29,26,0.9,9.6,8.5,283,7:09,248,0,238,365,--,--,--,"7,082",--,--,-8,23,No,02:17.7,7,28,0:45:13,0:45:34,3,14,,,
Hiking,19/3/2025 14:30,Raparapahoe Falls,Raparapahoe Falls,North Island,Te Puke,1.11,151,0:30:02,114,162,2,48,158,27:01:00,5:17,93,76,0.79,--,--,--,--,--,0,--,--,--,--,--,"2,086",--,--,-4,26,No,02:51.8,2,29,0:19:49,0:38:30,29,115,2-Oct,https://www.alltrails.com/trail/new-zealand/bay-of-plenty/raparapahoe-falls-track,
Hiking,19/3/2025 16:02,Otanewainuku Scenic Reserve,Otanewainuku Scenic Reserve ,North Island,Bay of Plenty,4.64,668,2:22:29,127,166,2.6,32,222,30:42:00,3:33,349,365,1.61,--,--,--,--,--,0,--,--,--,--,--,"6,460",--,--,-14,17,No,0:11:47,5,26,0:51:28,2:34:10,450,628,4-Oct,https://maps.app.goo.gl/Px3akWMXWqFj4MfWA,
Running,22/3/2025 9:09,Te Puke Running,Te Puke,North Island,,5.07,335,0:33:30,164,186,4,162,170,6:37,5:19,61,70,0.93,9.5,8.9,281,6:33,270,0,264,397,--,--,--,"5,428",--,--,-11,24,No,00:26.1,6,29,0:33:28,0:33:30,25,92,,,
Running,24/3/2025 9:12,Te Puke Running,Te Puke,North Island,,5.01,343,0:36:23,156,179,3.6,160,169,7:15,6:00,61,60,0.86,10,8.6,292,7:11,249,0,244,354,--,--,--,"5,794",--,--,-11,23,No,00:06.5,6,28,0:36:21,0:36:23,9,40,,,
Running,27/3/2025 16:40,Te Puke - Base,Mcloughlin Park,North Island,,6.52,465,0:46:13,170,186,4.3,162,191,7:05,4:21,193,183,0.87,9.8,8.5,285,6:33,294,0,265,543,--,--,--,"7,478",--,--,-9,29,No,00:13.0,8,35,0:46:11,0:46:13,-29,49,,,
Hiking,31/3/2025 15:25,Tect Park Hike,Te Rerenga Tunnel Trail,North Island,Tauranga,3.25,217,1:03:07,92,123,0.5,64,160,19:24,5:40,99,99,0.88,--,--,--,--,--,0,--,--,--,--,--,"4,604",--,--,-5,21,No,06:21.4,4,27,0:46:54,1:03:07,433,489,5-Oct,https://www.alltrails.com/trail/new-zealand/bay-of-plenty/te-rerenga-tunnel-trail,
Hiking,31/3/2025 17:43,Papamoa Hills Hike,Papamoa Hill Summit Track 2,North Island,Papamoa,1.8,157,0:37:36,101,136,0.6,69,160,20:55,9:55,209,2,0.7,--,--,--,--,--,0,--,--,--,--,--,"2,910",--,--,-3,22,No,0:17:10,2,30,0:30:01,0:37:36,10,219,7-Oct,https://www.alltrails.com/trail/new-zealand/bay-of-plenty/papamoa-hill-summit-track,
Running,1/4/2025 18:05,Te Puke - Base,Mcloughlin Park,North Island,,7.31,505,0:51:41,161,183,4.2,159,170,7:04,5:12,69,66,0.89,9.9,8.8,292,7:01,252,0,248,394,--,--,--,"8,192",--,--,-12,23,No,00:40.8,9,27,0:51:37,0:51:48,6,40,,,
Running,5/4/2025 17:43,Te Puke Running,Mcloughlin Park,North Island,,6.03,420,0:44:57,159,179,3.7,159,168,7:27,4:53,74,78,0.84,10.1,8.5,294,7:21,249,0,240,399,--,--,--,"7,130",--,--,-11,26,No,00:17.0,7,30,0:44:55,0:44:57,4,41,,,
Running,7/4/2025 16:33,Te Puke Running,Mcloughlin Park,North Island,,5.24,360,0:35:48,161,184,4,157,169,6:50,5:11,62,69,0.93,9.7,9.1,291,6:45,270,0,260,448,--,--,--,"5,618",--,--,-11,23,No,01:36.6,6,28,0:35:39,0:35:48,2,38,,,
Hiking,12/4/2025 12:36,Blue Springs,Putaruru Blue Spring,North Island,Waikato,0.63,76,0:22:28,94,124,0.3,31,160,35:41:00,10:31,29,31,0.92,--,--,--,--,--,0,--,--,--,--,--,854,--,--,-2,30,No,0:22:28,1,34,0:09:25,0:22:28,119,138,7.5/10,https://www.alltrails.com/trail/new-zealand/waikato/blue-spring-from-leslie-road-trailhead-via-te-waihou-walkway,
Running,13/4/2025 8:55,Te Puke Running,Te Puke,North Island,,3.33,214,0:23:56,150,182,3,129,183,7:12,3:33,28,23,1.15,7.9,8,255,7:02,312,0,225,502,--,--,--,"3,166",--,--,-8,23,No,00:16.1,8,28,0:23:48,0:23:56,37,50,,,
Running,15/4/2025 16:52,Te Puke - Base,Mcloughlin Park,North Island,,7.46,525,0:51:59,167,187,4.5,158,226,6:58,4:41,62,81,0.91,9.9,8.9,292,6:57,258,0,253,431,--,--,--,"8,200",--,--,-13,24,No,00:03.2,9,30,0:51:56,0:51:59,2,38,,,
Running,22/4/2025 12:20,Te Puke - Base,Mcloughlin Park,North Island,,5.42,386,0:36:36,173,192,4.3,158,228,6:45,4:42,56,61,0.94,9.7,9.1,291,6:39,267,0,260,393,--,--,--,"5,738",--,--,-14,27,No,00:35.8,7,31,0:36:34,0:39:32,-1,40,,,
Running,24/4/2025 16:07,Te Puke - Base,Te Puke,North Island,,4.88,342,0:35:17,160,175,3.6,157,167,7:14,6:38,59,62,0.88,10,8.8,297,7:10,248,0,244,315,--,--,--,"5,500",--,--,-10,22,No,00:16.9,6,26,0:35:13,0:35:17,35,85,,,
Running,24/4/2025 16:52,Strength,Te Puke,North Island,,0,185,0:27:14,129,158,2.1,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,18,9,1,-5,25,No,0:27:14,1,28,0:27:14,0:29:04,--,--,,,
